freq	mag	phase
7112926751.79	-32.9245681763	-37.2521743774
7112926951.79	-33.0130119324	-38.7764625549
7112927151.79	-33.0939445496	-40.1389846802
7112927351.79	-33.1859512329	-41.6905059814
7112927551.79	-33.2627830505	-43.0973205566
7112927751.79	-33.3534927368	-44.6995887756
7112927951.79	-33.4381713867	-46.2194366455
7112928151.79	-33.531124115	-47.9219055176
7112928351.79	-33.631526947	-49.6385688782
7112928551.79	-33.7270507813	-51.3959732056
7112928751.79	-33.8128738403	-53.0928916931
7112928951.79	-33.9056282043	-54.9134407043
7112929151.79	-34.0023612976	-56.7591667175
7112929351.79	-34.0971069336	-58.6793022156
7112929551.79	-34.1995506287	-60.6295661926
7112929751.79	-34.2840881348	-62.6748542786
7112929951.79	-34.3806266785	-64.7666244507
7112930151.79	-34.4722518921	-66.9149475098
7112930351.79	-34.55519104	-68.9359893799
7112930551.79	-34.6272697449	-70.6857833862
7112930751.79	-34.7184791565	-72.9267730713
7112930951.79	-34.8082771301	-75.3440170288
7112931151.79	-34.8979263306	-77.6356811523
7112931351.79	-34.9735679626	-79.917755127
7112931551.79	-35.0453948975	-82.1688079834
7112931751.79	-35.1205863953	-84.5878677368
7112931951.79	-35.1787223816	-86.8336868286
7112932151.79	-35.2483863831	-89.5069274902
7112932351.79	-35.3001251221	-91.767578125
7112932551.79	-35.354473114	-94.3734512329
7112932751.79	-35.3971214294	-96.8362045288
7112932951.79	-35.4430618286	-99.4056396484
7112933151.79	-35.476776123	-101.983596802
7112933351.79	-35.5099220276	-104.712265015
7112933551.79	-35.530166626	-107.081314087
7112933751.79	-35.5481872559	-109.7394104
7112933951.79	-35.5557594299	-112.536514282
7112934151.79	-35.5540008545	-115.205032349
7112934351.79	-35.5517158508	-118.057945251
7112934551.79	-35.5384597778	-120.509887695
7112934751.79	-35.5222091675	-123.022529602
7112934951.79	-35.4969024658	-125.591384888
7112935151.79	-35.4675750732	-128.331680298
7112935351.79	-35.4320793152	-130.703582764
7112935551.79	-35.3930549622	-133.249710083
7112935751.79	-35.338924408	-135.628738403
7112935951.79	-35.2889137268	-138.098434448
7112936151.79	-35.2266120911	-140.532104492
7112936351.79	-35.1740951538	-142.719711304
7112936551.79	-35.1016960144	-145.238311768
7112936751.79	-35.0282936096	-147.639633179
7112936951.79	-34.9553565979	-149.752853394
7112937151.79	-34.8829994202	-152.167602539
7112937351.79	-34.8024520874	-154.365356445
7112937551.79	-34.7155532837	-156.601791382
7112937751.79	-34.6332168579	-158.659408569
7112937951.79	-34.5460090637	-160.783325195
7112938151.79	-34.4520263672	-162.958175659
7112938351.79	-34.3624534607	-164.960891724
7112938551.79	-34.2794685364	-166.985214233
7112938751.79	-34.1870193481	-168.800354004
7112938951.79	-34.0872077942	-170.755645752
7112939151.79	-34.0014419556	-172.477767944
7112939351.79	-33.9034843445	-174.525054932
7112939551.79	-33.8182525635	-176.175720215
7112939751.79	-33.7129402161	-178.052658081
7112939951.79	-33.6330032349	-179.584976196
7112940151.79	-33.5493659973	178.867004395
